index,timestamp,length,protocol,label,arp_op,arp_hwsrc,arp_hwdst,arp_psrc,arp_pdst,source_ip,destination_ip,ip_version,ttl,ip_len,source_port,destination_port,udp_len,tcp_flags
0,1759919711.264906,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
1,1759919711.268457,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
2,1759919711.268491,75,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,61.0,57642.0,53.0,41.0,
3,1759919711.26853,342,Ethernet,benign,,,,,,0.0.0.0,255.255.255.255,4.0,128.0,328.0,68.0,67.0,308.0,
4,1759919711.282105,343,Ethernet,benign,,,,,,192.168.137.1,192.168.137.45,4.0,64.0,329.0,67.0,68.0,309.0,
5,1759919711.319011,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
6,1759919711.319351,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
7,1759919711.319611,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
8,1759919711.320086,64,Ethernet,benign,,,,,,192.168.137.45,224.0.0.252,4.0,1.0,50.0,53419.0,5355.0,30.0,
9,1759919711.438047,78,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,64.0,59476.0,53.0,44.0,
10,1759919711.559936,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
11,1759919711.562973,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
12,1759919711.604844,72,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,58.0,53505.0,53.0,38.0,
13,1759919711.637737,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
14,1759919711.640344,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
15,1759919711.700593,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,0.0.0.0,192.168.137.45,,,,,,,,,
16,1759919711.700775,62,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,48.0,,,,
17,1759919711.735535,64,Ethernet,benign,,,,,,192.168.137.45,224.0.0.252,4.0,1.0,50.0,53419.0,5355.0,30.0,
18,1759919711.849108,83,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,69.0,56285.0,53.0,49.0,
19,1759919712.200825,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
20,1759919712.384127,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
21,1759919712.388119,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
22,1759919712.444733,78,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,64.0,59476.0,53.0,44.0,
23,1759919712.549905,70,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,56.0,61222.0,53.0,36.0,
24,1759919712.607942,72,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,58.0,53505.0,53.0,38.0,
25,1759919712.700783,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,0.0.0.0,192.168.137.45,,,,,,,,,
26,1759919712.853083,83,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,69.0,56285.0,53.0,49.0,
27,1759919713.271929,86,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,72.0,53196.0,53.0,52.0,
28,1759919713.272247,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
29,1759919713.275452,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
30,1759919713.289722,75,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,61.0,56651.0,53.0,41.0,
31,1759919713.451456,78,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,64.0,59476.0,53.0,44.0,
32,1759919713.556318,70,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,56.0,61222.0,53.0,36.0,
33,1759919713.611154,72,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,58.0,53505.0,53.0,38.0,
34,1759919713.702084,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,0.0.0.0,192.168.137.45,,,,,,,,,
35,1759919713.837692,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.1,,,,,,,,,
36,1759919713.840277,42,Ethernet,benign,2.0,e4:5f:01:54:8e:16,28:d0:43:42:f2:70,192.168.137.1,192.168.137.45,,,,,,,,,
37,1759919713.853419,83,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,69.0,56285.0,53.0,49.0,
38,1759919714.277945,86,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,72.0,53196.0,53.0,52.0,
39,1759919714.291038,75,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,61.0,56651.0,53.0,41.0,
40,1759919714.56308,70,Ethernet,benign,,,,,,192.168.137.45,192.168.137.1,4.0,128.0,56.0,61222.0,53.0,36.0,
41,1759919714.700603,42,Ethernet,benign,1.0,28:d0:43:42:f2:70,00:00:00:00:00:00,192.168.137.45,192.168.137.45,,,,,,,,,
42,1759919714.705015,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
43,1759919714.71277,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
44,1759919714.713367,64,Ethernet,benign,,,,,,192.168.137.45,224.0.0.252,4.0,1.0,50.0,54993.0,5355.0,30.0,
45,1759919714.728443,54,Ethernet,benign,,,,,,192.168.137.45,224.0.0.22,4.0,1.0,40.0,,,,
46,1759919714.784643,110,Ethernet,benign,,,,,,192.168.137.45,192.168.137.255,4.0,128.0,96.0,137.0,137.0,76.0,
47,1759919714.944395,169,Ethernet,benign,,,,,,192.168.137.45,239.255.255.250,4.0,4.0,155.0,62826.0,1900.0,135.0,
48,1759919714.971896,169,Ethernet,benign,,,,,,192.168.137.45,239.255.255.250,4.0,4.0,155.0,62826.0,1900.0,135.0,
49,1759919715.007009,169,Ethernet,benign,,,,,,192.168.137.45,239.255.255.250,4.0,4.0,155.0,62826.0,1900.0,135.0,
50,1759919715.041487,169,Ethernet,benign,,,,,,192.168.137.45,239.255.255.250,4.0,4.0,155.0,62826.0,1900.0,135.0,
